ID_grid,idx,ID,yearID,frac_minus2,frac_minus1,frac_current,frac_plus1,fracLag_minus2,fracLag_minus1,fracLag_current,fracLag_plus1,clust_minus2,clust_minus1,clust_current,clust_plus1,data_split
313,313,213869,2014,0,0,0,0,0.035416666666666666,0.043402777777777776,0.03782894736842105,0.021739130434782605,0,0,0,0,train
313,313,213869,2015,0,0,0,0,0.043402777777777776,0.03782894736842105,0.021739130434782605,0.027960526315789474,0,0,0,0,train
313,313,213869,2016,0,0,0,0,0.03782894736842105,0.021739130434782605,0.027960526315789474,0.004424778761061948,0,0,0,0,train
314,314,213880,2012,0,0.047619047619047616,0,0,0.006410256410256411,0,0.010416666666666668,0.010416666666666666,0,0,0,0,train
314,314,213880,2013,0.047619047619047616,0,0,0,0,0.010416666666666668,0.010416666666666666,0.009868421052631578,0,0,0,0,train
314,314,213880,2014,0,0,0,0.021739130434782608,0.010416666666666668,0.010416666666666666,0.009868421052631578,0.008152173913043478,0,0,0,0,train
314,314,213880,2015,0,0,0.021739130434782608,0.013157894736842106,0.010416666666666666,0.009868421052631578,0.008152173913043478,0.002467105263157895,0,0,0,0,train
314,314,213880,2016,0,0.021739130434782608,0.013157894736842106,0.008849557522123895,0.009868421052631578,0.008152173913043478,0.002467105263157895,0.001106194690265487,0,0,0,0,train
315,315,213881,2012,0,0,0,0,0.0032051282051282055,0.005952380952380952,0.0020833333333333337,0.001736111111111111,0,0,0,0,valid
315,315,213881,2013,0,0,0,0,0.005952380952380952,0.0020833333333333337,0.001736111111111111,0.001644736842105263,0,0,0,0,valid
315,315,213881,2014,0,0,0,0.010869565217391304,0.0020833333333333337,0.001736111111111111,0.001644736842105263,0.004076086956521739,0,0,0,0,valid
315,315,213881,2015,0,0,0.010869565217391304,0,0.001736111111111111,0.001644736842105263,0.004076086956521739,8.223684210526316e-4,0,0,0,0,valid
315,315,213881,2016,0,0.010869565217391304,0,0,0.001644736842105263,0.004076086956521739,8.223684210526316e-4,0,0,0,0,0,valid
